t,stamp,phone_leena,keys_leena,wallet_leena,laptop_leena,charger_leena,backpack_leena,jacket_leena,headphones_leena,glasses_leena,notebook_leena,pen_leena,water_bottle_leena,lunchbox_leena,mug_leena,mug_shared_1,bowl_leena,plate_leena,pot_shared_1,pan_shared_1,book_leena,remote_shared_1,blanket_leena,yoga_mat_leena,laundry_basket_leena,towel_leena,vacuum_cleaner_shared_1,watering_can_leena,medication_bottle_leena,hairbrush_leena,makeup_kit_leena,suitcase_leena,umbrella_leena
2580,d01 Tue 19:00,entry,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
2640,d01 Tue 20:00,entry,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
2700,d01 Tue 21:00,entry,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
2760,d01 Tue 22:00,entry,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
2820,d01 Tue 23:00,entry,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
2880,d02 Wed 00:00,entry,entry,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
2940,d02 Wed 01:00,entry,entry,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
3000,d02 Wed 02:00,entry,entry,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
3060,d02 Wed 03:00,entry,entry,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
3120,d02 Wed 04:00,entry,entry,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
3180,d02 Wed 05:00,entry,entry,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
3240,d02 Wed 06:00,entry,entry,bedroom,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
3300,d02 Wed 07:00,entry,entry,bathroom,kitchen,bedroom,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
3360,d02 Wed 08:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,living,kitchen,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
3420,d02 Wed 09:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,living,kitchen,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
3480,d02 Wed 10:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,living,kitchen,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
3540,d02 Wed 11:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,living,kitchen,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
3600,d02 Wed 12:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,living,kitchen,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
3660,d02 Wed 13:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,living,kitchen,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
3720,d02 Wed 14:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,living,kitchen,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
3780,d02 Wed 15:00,outside,outside,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,kitchen,living,kitchen,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,outside,bedroom,outside
3840,d02 Wed 16:00,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
3900,d02 Wed 17:00,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,kitchen,kitchen,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
3960,d02 Wed 18:00,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,living,bedroom,bathroom,entry,kitchen,kitchen,bathroom,bathroom,bedroom,entry
4020,d02 Wed 19:00,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,living,bedroom,bathroom,entry,kitchen,kitchen,bathroom,bathroom,bedroom,entry
4080,d02 Wed 20:00,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,living,bedroom,bathroom,entry,kitchen,kitchen,bathroom,bathroom,bedroom,entry
4140,d02 Wed 21:00,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,living,bedroom,bathroom,entry,kitchen,kitchen,bathroom,bathroom,bedroom,entry
4200,d02 Wed 22:00,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,living,bedroom,bathroom,entry,kitchen,kitchen,bathroom,bathroom,bedroom,entry
4260,d02 Wed 23:00,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,living,bedroom,bathroom,entry,kitchen,kitchen,bathroom,bathroom,bedroom,entry
4320,d03 Thu 00:00,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,living,bedroom,bathroom,entry,kitchen,kitchen,bathroom,bathroom,bedroom,entry
4380,d03 Thu 01:00,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,living,bedroom,bathroom,entry,kitchen,kitchen,bathroom,bathroom,bedroom,entry
4440,d03 Thu 02:00,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,living,bedroom,bathroom,entry,kitchen,kitchen,bathroom,bathroom,bedroom,entry
4500,d03 Thu 03:00,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,living,bedroom,bathroom,entry,kitchen,kitchen,bathroom,bathroom,bedroom,entry
4560,d03 Thu 04:00,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,living,bedroom,bathroom,entry,kitchen,kitchen,bathroom,bathroom,bedroom,entry
4620,d03 Thu 05:00,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,living,bedroom,bathroom,entry,kitchen,kitchen,bathroom,bathroom,bedroom,entry
4680,d03 Thu 06:00,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,living,bedroom,bathroom,entry,kitchen,kitchen,bathroom,bathroom,bedroom,entry
4740,d03 Thu 07:00,entry,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,bedroom,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
4800,d03 Thu 08:00,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
4860,d03 Thu 09:00,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
4920,d03 Thu 10:00,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
4980,d03 Thu 11:00,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
5040,d03 Thu 12:00,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
5100,d03 Thu 13:00,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,bathroom,bedroom,entry
5160,d03 Thu 14:00,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,entry
5220,d03 Thu 15:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,entry
5280,d03 Thu 16:00,bedroom,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bathroom,bathroom,kitchen,bedroom,entry
5340,d03 Thu 17:00,bedroom,entry,kitchen,kitchen,bedroom,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bedroom,bathroom,entry,kitchen,bedroom,bathroom,kitchen,bedroom,entry
