t,stamp,laptop_nia,phone_nia,keys_nia,wallet_nia,backpack_nia,water_bottle_nia,notebook_nia,pen_nia,mug_nia,book_nia,blanket_nia,charger_nia,jacket_nia,laundry_basket_nia,laptop_mateo,phone_mateo,keys_mateo,wallet_mateo,backpack_mateo,headphones_mateo,notebook_mateo,pen_mateo,mug_mateo,gaming_controller_mateo,charger_mateo,jacket_mateo,phone_priya,keys_priya,wallet_priya,backpack_priya,water_bottle_priya,jacket_priya,umbrella_priya,yoga_mat_priya,lunchbox_priya,hairbrush_priya,medication_bottle_priya,bowl_shared_1,plate_shared_1,plate_shared_2,pot_shared_1,pan_shared_1,remote_shared_1,vacuum_cleaner_shared_1,towel_shared_1,laundry_basket_shared_1
600,d00 Mon 10:00,outside,outside,outside,outside,outside,outside,outside,bedroom_1,kitchen,living,living,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,outside,bedroom_3,entry,bedroom_3,bedroom_3,entry,kitchen,entry,living,kitchen,bathroom,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
660,d00 Mon 11:00,outside,outside,outside,outside,outside,outside,outside,bedroom_1,kitchen,living,living,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,outside,bedroom_3,entry,bedroom_3,bedroom_3,entry,kitchen,entry,living,kitchen,bathroom,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
720,d00 Mon 12:00,outside,outside,outside,outside,outside,outside,outside,bedroom_1,kitchen,living,living,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,outside,bedroom_3,entry,bedroom_3,bedroom_3,entry,kitchen,entry,living,kitchen,bathroom,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
780,d00 Mon 13:00,outside,outside,outside,outside,outside,outside,outside,bedroom_1,kitchen,living,living,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,outside,bedroom_3,entry,bedroom_3,bedroom_3,kitchen,kitchen,entry,living,kitchen,bathroom,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
840,d00 Mon 14:00,outside,outside,outside,outside,outside,outside,outside,bedroom_1,kitchen,living,living,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_2,outside,bedroom_3,entry,bedroom_3,bedroom_3,kitchen,kitchen,entry,living,kitchen,bathroom,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
900,d00 Mon 15:00,outside,outside,outside,outside,outside,outside,outside,bedroom_1,kitchen,living,living,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_2,living,kitchen,bedroom_2,outside,bedroom_3,entry,bedroom_3,bedroom_3,kitchen,kitchen,kitchen,living,kitchen,bathroom,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
960,d00 Mon 16:00,outside,outside,outside,outside,outside,outside,outside,bedroom_1,kitchen,living,living,bedroom_1,outside,outside,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,kitchen,bedroom_2,living,kitchen,living,kitchen,bedroom_3,bedroom_3,bedroom_3,entry,kitchen,kitchen,entry,living,kitchen,bathroom,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
1020,d00 Mon 17:00,bedroom_1,bedroom_1,entry,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,living,bedroom_1,entry,bedroom_1,living,bedroom_2,bedroom_2,bedroom_2,living,bedroom_2,kitchen,bedroom_2,living,kitchen,living,kitchen,outside,outside,outside,outside,outside,outside,outside,living,outside,bathroom,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
1080,d00 Mon 18:00,kitchen,bedroom_1,entry,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,living,bedroom_1,entry,bedroom_1,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,bedroom_2,kitchen,bedroom_2,living,living,living,kitchen,outside,outside,outside,outside,outside,outside,outside,living,outside,bathroom,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
1140,d00 Mon 19:00,kitchen,bedroom_1,entry,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,living,bedroom_1,kitchen,bedroom_1,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,bedroom_2,kitchen,bedroom_2,living,living,living,kitchen,outside,outside,outside,outside,outside,outside,outside,living,outside,bathroom,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
1200,d00 Mon 20:00,kitchen,bedroom_1,entry,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,living,bedroom_1,kitchen,bedroom_1,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,bedroom_2,kitchen,bedroom_2,living,living,kitchen,kitchen,outside,outside,outside,outside,outside,outside,outside,living,outside,bathroom,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
1260,d00 Mon 21:00,kitchen,bedroom_1,entry,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,living,bedroom_1,kitchen,bedroom_1,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,bedroom_2,kitchen,bedroom_2,living,living,kitchen,kitchen,outside,outside,outside,outside,outside,outside,outside,living,outside,bathroom,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
1320,d00 Mon 22:00,kitchen,bedroom_1,entry,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,living,bedroom_1,kitchen,bedroom_1,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,bedroom_2,kitchen,bedroom_2,living,living,kitchen,kitchen,outside,outside,outside,outside,outside,outside,outside,living,outside,bathroom,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
1380,d00 Mon 23:00,kitchen,bedroom_1,entry,kitchen,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,living,bedroom_1,kitchen,bedroom_1,bedroom_2,kitchen,bedroom_2,bedroom_2,living,bedroom_2,kitchen,bedroom_2,living,living,kitchen,kitchen,outside,outside,outside,outside,outside,outside,outside,living,outside,bathroom,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
1440,d01 Tue 00:00,kitchen,bedroom_1,entry,bedroom_1,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,living,bedroom_1,kitchen,bedroom_1,bedroom_2,kitchen,bedroom_2,bedroom_2,living,bedroom_2,kitchen,bedroom_2,living,living,kitchen,kitchen,entry,bedroom_3,bedroom_3,entry,entry,kitchen,entry,living,kitchen,bathroom,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
1500,d01 Tue 01:00,kitchen,bedroom_1,entry,bedroom_1,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,living,bedroom_1,kitchen,bedroom_1,bedroom_2,kitchen,bedroom_2,bedroom_2,living,bedroom_2,kitchen,bedroom_2,living,living,kitchen,kitchen,entry,bedroom_3,bedroom_3,entry,entry,kitchen,entry,living,kitchen,bathroom,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
1560,d01 Tue 02:00,kitchen,bedroom_1,entry,bedroom_1,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,living,bedroom_1,kitchen,bedroom_1,bedroom_2,kitchen,bedroom_2,bedroom_2,living,bedroom_2,kitchen,bedroom_2,living,living,kitchen,kitchen,entry,bedroom_3,bedroom_3,entry,entry,kitchen,entry,living,kitchen,bathroom,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
1620,d01 Tue 03:00,kitchen,bedroom_1,entry,bedroom_1,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,living,bedroom_1,kitchen,bedroom_1,bedroom_2,kitchen,bedroom_2,bedroom_2,living,bedroom_2,kitchen,bedroom_2,living,living,kitchen,kitchen,entry,bedroom_3,bedroom_3,entry,entry,kitchen,entry,living,kitchen,bathroom,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
1680,d01 Tue 04:00,kitchen,bedroom_1,entry,bedroom_1,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,living,bedroom_1,kitchen,bedroom_1,bedroom_2,kitchen,bedroom_2,bedroom_2,living,bedroom_2,kitchen,bedroom_2,living,living,kitchen,kitchen,entry,bedroom_3,bedroom_3,entry,entry,kitchen,entry,living,kitchen,bathroom,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
1740,d01 Tue 05:00,kitchen,bedroom_1,entry,bedroom_1,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,living,bedroom_1,kitchen,bedroom_1,bedroom_2,kitchen,bedroom_2,bedroom_2,living,bedroom_2,kitchen,bedroom_2,living,living,kitchen,kitchen,entry,bedroom_3,bedroom_3,entry,entry,kitchen,entry,living,kitchen,bathroom,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
1800,d01 Tue 06:00,kitchen,entry,entry,bedroom_1,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,living,bedroom_1,kitchen,bedroom_1,bedroom_2,kitchen,bedroom_2,bedroom_2,living,bedroom_2,kitchen,bedroom_2,living,living,kitchen,kitchen,entry,bedroom_3,bedroom_3,entry,entry,kitchen,entry,living,kitchen,bedroom_2,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
1860,d01 Tue 07:00,kitchen,bedroom_1,entry,bedroom_1,kitchen,bedroom_1,bedroom_1,kitchen,kitchen,living,living,bedroom_1,kitchen,bedroom_1,outside,outside,outside,outside,outside,outside,kitchen,bedroom_2,kitchen,living,kitchen,outside,entry,bedroom_3,bedroom_3,entry,entry,kitchen,entry,living,kitchen,bedroom_3,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
1920,d01 Tue 08:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,living,living,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_2,kitchen,living,kitchen,outside,entry,bedroom_3,bedroom_3,entry,entry,kitchen,entry,living,kitchen,bedroom_3,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
1980,d01 Tue 09:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,living,living,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_2,kitchen,living,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,living,outside,bedroom_3,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
2040,d01 Tue 10:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,living,living,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_2,kitchen,living,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,living,outside,bedroom_3,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
2100,d01 Tue 11:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,living,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_2,kitchen,living,kitchen,outside,entry,entry,bedroom_3,kitchen,entry,kitchen,entry,living,kitchen,bedroom_3,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
2160,d01 Tue 12:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,living,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_2,kitchen,living,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,living,outside,bedroom_3,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
2220,d01 Tue 13:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,living,bedroom_1,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,kitchen,outside,entry,entry,bedroom_3,entry,entry,kitchen,entry,living,kitchen,bedroom_3,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
2280,d01 Tue 14:00,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,living,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,living,living,kitchen,living,kitchen,outside,entry,entry,bedroom_3,entry,entry,kitchen,entry,living,kitchen,bedroom_3,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
2340,d01 Tue 15:00,bedroom_1,bedroom_1,entry,bedroom_1,bedroom_1,bedroom_1,bedroom_1,kitchen,kitchen,living,living,kitchen,entry,bedroom_1,outside,outside,outside,outside,outside,outside,living,bedroom_2,kitchen,living,kitchen,outside,entry,entry,bedroom_3,entry,entry,kitchen,entry,living,kitchen,bedroom_3,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
2400,d01 Tue 16:00,bedroom_1,bedroom_1,entry,bedroom_1,bedroom_1,bedroom_1,bedroom_1,kitchen,kitchen,living,living,kitchen,entry,bedroom_1,outside,outside,outside,outside,outside,outside,living,bedroom_2,kitchen,living,kitchen,outside,entry,entry,bedroom_3,entry,entry,kitchen,entry,living,kitchen,bedroom_3,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
2460,d01 Tue 17:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,living,living,kitchen,outside,outside,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,bedroom_2,bedroom_2,living,living,kitchen,entry,entry,bedroom_3,bedroom_3,entry,kitchen,entry,living,kitchen,bedroom_3,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
2520,d01 Tue 18:00,kitchen,bedroom_1,entry,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,living,living,kitchen,entry,bedroom_1,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,living,living,bedroom_2,bedroom_2,living,living,kitchen,entry,entry,bedroom_3,bedroom_3,entry,kitchen,entry,living,kitchen,bedroom_3,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
2580,d01 Tue 19:00,kitchen,bedroom_1,entry,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,living,living,kitchen,entry,bedroom_1,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,living,bedroom_2,bedroom_2,living,living,kitchen,entry,entry,bedroom_3,bedroom_3,entry,kitchen,entry,living,kitchen,bedroom_3,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
2640,d01 Tue 20:00,kitchen,bedroom_1,entry,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,living,living,kitchen,entry,bedroom_1,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,living,bedroom_2,bedroom_2,living,living,kitchen,entry,entry,bedroom_3,bedroom_3,entry,kitchen,entry,living,kitchen,bedroom_3,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
2700,d01 Tue 21:00,kitchen,bedroom_1,entry,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom_1,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,living,bedroom_2,bedroom_2,living,living,kitchen,entry,entry,bedroom_3,bedroom_3,entry,kitchen,entry,living,kitchen,bedroom_3,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
2760,d01 Tue 22:00,kitchen,bedroom_1,entry,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom_1,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,living,bedroom_2,bedroom_2,living,living,kitchen,entry,entry,bedroom_3,bedroom_3,entry,kitchen,entry,living,kitchen,bedroom_3,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
2820,d01 Tue 23:00,kitchen,bedroom_1,entry,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom_1,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,living,living,kitchen,entry,entry,bedroom_3,bedroom_3,entry,kitchen,entry,living,kitchen,bedroom_3,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
2880,d02 Wed 00:00,kitchen,bedroom_1,entry,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom_1,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,living,living,kitchen,entry,entry,bedroom_3,bedroom_3,entry,kitchen,entry,living,kitchen,bedroom_3,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
2940,d02 Wed 01:00,kitchen,bedroom_1,entry,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom_1,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,living,living,kitchen,entry,entry,bedroom_3,bedroom_3,entry,kitchen,entry,living,kitchen,bedroom_3,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
3000,d02 Wed 02:00,kitchen,bedroom_1,entry,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom_1,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,living,living,kitchen,entry,entry,bedroom_3,bedroom_3,entry,kitchen,entry,living,kitchen,bedroom_3,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
3060,d02 Wed 03:00,kitchen,bedroom_1,entry,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom_1,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,living,living,kitchen,entry,entry,bedroom_3,bedroom_3,entry,kitchen,entry,living,kitchen,bedroom_3,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
3120,d02 Wed 04:00,kitchen,bedroom_1,entry,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom_1,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,living,living,kitchen,entry,entry,bedroom_3,entry,entry,kitchen,entry,living,kitchen,bedroom_3,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
3180,d02 Wed 05:00,kitchen,bedroom_1,entry,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom_1,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,kitchen,bedroom_2,bedroom_2,living,living,kitchen,entry,entry,bedroom_3,entry,entry,kitchen,entry,living,kitchen,bedroom_3,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
3240,d02 Wed 06:00,kitchen,bedroom_1,entry,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom_1,outside,outside,outside,outside,outside,outside,kitchen,kitchen,living,living,living,outside,entry,entry,bedroom_3,entry,entry,kitchen,entry,living,kitchen,bathroom,bedroom_1,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
3300,d02 Wed 07:00,kitchen,bedroom_1,entry,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom_1,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,living,outside,entry,entry,bedroom_3,entry,entry,kitchen,entry,living,kitchen,bathroom,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
3360,d02 Wed 08:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,living,outside,entry,entry,bedroom_3,entry,entry,kitchen,entry,living,kitchen,bathroom,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
3420,d02 Wed 09:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,living,outside,entry,entry,bedroom_3,entry,entry,kitchen,entry,living,kitchen,bathroom,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
3480,d02 Wed 10:00,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,kitchen,kitchen,living,living,outside,entry,entry,bedroom_3,entry,entry,kitchen,entry,living,kitchen,bathroom,bedroom_3,entry,kitchen,kitchen,kitchen,kitchen,living,entry,bathroom,bathroom
