t,stamp,phone_marie,keys_marie,wallet_marie,laptop_marie,charger_marie,backpack_marie,jacket_marie,water_bottle_marie,mug_marie,bowl_marie,plate_marie,pot_shared_1,pan_shared_1,book_marie,notebook_marie,pen_marie,headphones_marie,remote_shared_1,blanket_marie,yoga_mat_marie,towel_marie,laundry_basket_marie,hairbrush_marie,umbrella_marie,suitcase_marie
600,d00 Mon 10:00,outside,outside,outside,outside,kitchen,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,living,living,kitchen,bathroom,bedroom,outside,outside,outside
660,d00 Mon 11:00,outside,outside,outside,outside,kitchen,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,living,living,kitchen,bathroom,bedroom,outside,outside,outside
720,d00 Mon 12:00,outside,outside,outside,outside,kitchen,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,living,living,kitchen,bathroom,bedroom,outside,outside,outside
780,d00 Mon 13:00,outside,outside,outside,outside,kitchen,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,outside,living,living,kitchen,bathroom,bedroom,outside,outside,outside
840,d00 Mon 14:00,outside,outside,outside,outside,kitchen,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,outside,living,living,kitchen,bathroom,bedroom,outside,outside,outside
900,d00 Mon 15:00,outside,outside,outside,outside,kitchen,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,outside,living,living,kitchen,bathroom,bedroom,outside,outside,outside
960,d00 Mon 16:00,outside,outside,outside,outside,kitchen,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,outside,living,living,kitchen,bathroom,bedroom,outside,outside,outside
1020,d00 Mon 17:00,outside,outside,outside,outside,kitchen,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,outside,living,living,kitchen,bathroom,bedroom,outside,outside,outside
1080,d00 Mon 18:00,living,entry,kitchen,entry,kitchen,entry,kitchen,living,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom,living,living,kitchen,bathroom,bedroom,bathroom,kitchen,bedroom
1140,d00 Mon 19:00,living,entry,kitchen,kitchen,kitchen,entry,kitchen,living,living,kitchen,living,kitchen,kitchen,living,entry,entry,bedroom,living,living,kitchen,bathroom,bedroom,bathroom,living,bedroom
1200,d00 Mon 20:00,living,entry,kitchen,kitchen,kitchen,entry,kitchen,living,living,kitchen,living,kitchen,kitchen,living,entry,entry,bedroom,living,living,kitchen,bathroom,bedroom,bathroom,living,bedroom
1260,d00 Mon 21:00,living,entry,kitchen,kitchen,kitchen,entry,kitchen,living,living,kitchen,living,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,kitchen,bathroom,bedroom,bathroom,living,bedroom
1320,d00 Mon 22:00,living,entry,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,kitchen,bathroom,bedroom,bathroom,living,bedroom
1380,d00 Mon 23:00,living,entry,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,kitchen,bathroom,bedroom,bathroom,living,bedroom
1440,d01 Tue 00:00,living,entry,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,bedroom,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,kitchen,bathroom,bedroom,bathroom,bedroom,bedroom
1500,d01 Tue 01:00,living,entry,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,bedroom,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,kitchen,bathroom,bedroom,bathroom,bedroom,bedroom
1560,d01 Tue 02:00,living,entry,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,bedroom,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,kitchen,bathroom,bedroom,bathroom,bedroom,bedroom
1620,d01 Tue 03:00,living,entry,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,bedroom,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,kitchen,bathroom,bedroom,bathroom,bedroom,bedroom
1680,d01 Tue 04:00,living,entry,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,bedroom,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,kitchen,bathroom,bedroom,bathroom,bedroom,bedroom
1740,d01 Tue 05:00,living,entry,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,bedroom,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,kitchen,bathroom,bedroom,bathroom,bedroom,bedroom
1800,d01 Tue 06:00,living,entry,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,bedroom,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,kitchen,bathroom,bedroom,bathroom,bedroom,bedroom
1860,d01 Tue 07:00,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,kitchen,bathroom,bedroom,bathroom,kitchen,bedroom
1920,d01 Tue 08:00,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,kitchen,bathroom,bedroom,bathroom,kitchen,bedroom
1980,d01 Tue 09:00,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,bathroom,bedroom,bathroom,entry,bedroom
2040,d01 Tue 10:00,entry,entry,kitchen,kitchen,kitchen,entry,kitchen,living,kitchen,kitchen,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,living,kitchen,bathroom,bedroom,bathroom,entry,bedroom
2100,d01 Tue 11:00,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,entry,outside,outside,outside,living,living,kitchen,bathroom,bedroom,outside,outside,outside
2160,d01 Tue 12:00,entry,entry,entry,kitchen,kitchen,entry,entry,living,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bedroom,living,living,kitchen,bathroom,bedroom,bathroom,entry,bedroom
2220,d01 Tue 13:00,entry,entry,entry,kitchen,kitchen,entry,entry,living,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bedroom,living,living,kitchen,bedroom,bathroom,bathroom,entry,bedroom
2280,d01 Tue 14:00,entry,entry,entry,kitchen,kitchen,entry,entry,living,kitchen,entry,kitchen,kitchen,kitchen,entry,kitchen,kitchen,bedroom,living,living,kitchen,bedroom,bathroom,bathroom,entry,bedroom
2340,d01 Tue 15:00,entry,entry,entry,kitchen,kitchen,entry,entry,living,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,bathroom,entry,bedroom
2400,d01 Tue 16:00,entry,entry,entry,kitchen,kitchen,entry,entry,living,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,bathroom,entry,bedroom
2460,d01 Tue 17:00,entry,entry,entry,kitchen,kitchen,entry,entry,living,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,bathroom,entry,bedroom
2520,d01 Tue 18:00,entry,entry,entry,kitchen,kitchen,entry,entry,living,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,bathroom,entry,bedroom
2580,d01 Tue 19:00,entry,entry,entry,kitchen,kitchen,entry,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,bathroom,entry,bedroom
2640,d01 Tue 20:00,entry,entry,entry,kitchen,kitchen,entry,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,bathroom,entry,bedroom
2700,d01 Tue 21:00,entry,entry,entry,kitchen,kitchen,entry,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,bathroom,entry,bedroom
2760,d01 Tue 22:00,bedroom,entry,entry,kitchen,bedroom,entry,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,bathroom,entry,bedroom
2820,d01 Tue 23:00,bedroom,entry,entry,kitchen,bedroom,entry,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,bathroom,entry,bedroom
2880,d02 Wed 00:00,bedroom,entry,entry,kitchen,bedroom,entry,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,bathroom,entry,bedroom
2940,d02 Wed 01:00,bedroom,entry,entry,kitchen,bedroom,entry,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,bathroom,entry,bedroom
3000,d02 Wed 02:00,bedroom,entry,entry,kitchen,bedroom,entry,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,bathroom,entry,bedroom
3060,d02 Wed 03:00,bedroom,entry,entry,kitchen,bedroom,entry,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,bathroom,entry,bedroom
3120,d02 Wed 04:00,bedroom,entry,entry,kitchen,bedroom,entry,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,bathroom,entry,bedroom
3180,d02 Wed 05:00,bedroom,entry,entry,kitchen,bedroom,entry,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bathroom,bathroom,entry,bedroom
3240,d02 Wed 06:00,kitchen,entry,entry,kitchen,bedroom,entry,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bedroom,bedroom,entry,bedroom
3300,d02 Wed 07:00,kitchen,entry,entry,kitchen,bedroom,entry,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bedroom,bedroom,entry,bedroom
3360,d02 Wed 08:00,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,living,living,living,bedroom,bedroom,outside,outside,outside
3420,d02 Wed 09:00,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,living,living,living,bedroom,bedroom,outside,outside,outside
3480,d02 Wed 10:00,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,living,living,living,bedroom,bedroom,outside,outside,outside
3540,d02 Wed 11:00,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,living,living,living,bedroom,bedroom,outside,outside,outside
3600,d02 Wed 12:00,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,living,living,living,bedroom,bedroom,outside,outside,outside
3660,d02 Wed 13:00,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,living,living,living,bedroom,bedroom,outside,outside,outside
3720,d02 Wed 14:00,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,living,living,living,bedroom,bedroom,outside,outside,outside
3780,d02 Wed 15:00,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,living,living,living,bedroom,bedroom,outside,outside,outside
3840,d02 Wed 16:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bedroom,kitchen,kitchen,kitchen
3900,d02 Wed 17:00,outside,kitchen,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,living,living,living,bedroom,bedroom,outside,outside,outside
3960,d02 Wed 18:00,outside,kitchen,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,kitchen,outside,living,living,living,bedroom,bedroom,outside,outside,outside
4020,d02 Wed 19:00,entry,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
4080,d02 Wed 20:00,entry,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
4140,d02 Wed 21:00,entry,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
4200,d02 Wed 22:00,entry,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
4260,d02 Wed 23:00,entry,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
4320,d03 Thu 00:00,entry,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
4380,d03 Thu 01:00,entry,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
4440,d03 Thu 02:00,entry,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
4500,d03 Thu 03:00,entry,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
4560,d03 Thu 04:00,entry,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
4620,d03 Thu 05:00,entry,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
4680,d03 Thu 06:00,entry,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
4740,d03 Thu 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
4800,d03 Thu 08:00,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,living,living,living,bathroom,bedroom,outside,outside,outside
4860,d03 Thu 09:00,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,living,living,living,bathroom,bedroom,outside,outside,outside
4920,d03 Thu 10:00,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,kitchen,outside,outside,outside,living,living,living,bathroom,bedroom,outside,outside,outside
4980,d03 Thu 11:00,entry,entry,kitchen,kitchen,kitchen,entry,entry,living,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,living,living,living,bathroom,bedroom,bathroom,entry,bedroom
5040,d03 Thu 12:00,kitchen,entry,kitchen,kitchen,kitchen,entry,entry,living,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bathroom,bedroom,bathroom,entry,bedroom
5100,d03 Thu 13:00,entry,entry,kitchen,kitchen,kitchen,entry,entry,living,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bathroom,bedroom,bathroom,entry,bedroom
5160,d03 Thu 14:00,entry,entry,kitchen,kitchen,kitchen,entry,entry,living,kitchen,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,bathroom,bedroom,bathroom,entry,bedroom
5220,d03 Thu 15:00,kitchen,entry,kitchen,kitchen,kitchen,entry,entry,living,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
5280,d03 Thu 16:00,kitchen,entry,kitchen,kitchen,kitchen,entry,entry,living,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
5340,d03 Thu 17:00,kitchen,entry,kitchen,kitchen,kitchen,entry,entry,living,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
5400,d03 Thu 18:00,kitchen,entry,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
5460,d03 Thu 19:00,kitchen,entry,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
5520,d03 Thu 20:00,kitchen,entry,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
5580,d03 Thu 21:00,kitchen,entry,kitchen,kitchen,kitchen,entry,entry,kitchen,living,entry,kitchen,kitchen,kitchen,living,entry,kitchen,bedroom,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
5640,d03 Thu 22:00,kitchen,entry,kitchen,kitchen,kitchen,entry,entry,kitchen,living,entry,kitchen,kitchen,kitchen,living,entry,kitchen,bedroom,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
5700,d03 Thu 23:00,kitchen,entry,kitchen,kitchen,kitchen,entry,entry,kitchen,living,entry,kitchen,kitchen,kitchen,living,entry,kitchen,bedroom,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
5760,d04 Fri 00:00,kitchen,entry,kitchen,kitchen,kitchen,entry,entry,kitchen,living,entry,kitchen,kitchen,kitchen,living,entry,kitchen,bedroom,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
5820,d04 Fri 01:00,kitchen,entry,kitchen,kitchen,kitchen,entry,entry,kitchen,living,entry,kitchen,kitchen,kitchen,living,entry,kitchen,bedroom,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
5880,d04 Fri 02:00,kitchen,entry,kitchen,kitchen,kitchen,entry,entry,kitchen,living,entry,kitchen,kitchen,kitchen,living,entry,kitchen,bedroom,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
5940,d04 Fri 03:00,kitchen,entry,kitchen,kitchen,kitchen,entry,entry,kitchen,living,entry,kitchen,kitchen,kitchen,living,entry,kitchen,bedroom,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
6000,d04 Fri 04:00,kitchen,entry,kitchen,kitchen,kitchen,entry,entry,kitchen,living,entry,kitchen,kitchen,kitchen,living,entry,kitchen,bedroom,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
6060,d04 Fri 05:00,bathroom,entry,kitchen,kitchen,kitchen,entry,entry,kitchen,living,entry,kitchen,kitchen,kitchen,living,entry,kitchen,bedroom,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
6120,d04 Fri 06:00,kitchen,entry,kitchen,kitchen,kitchen,entry,entry,kitchen,kitchen,entry,kitchen,kitchen,kitchen,living,entry,kitchen,kitchen,living,living,living,bedroom,bedroom,bathroom,entry,bedroom
6180,d04 Fri 07:00,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,living,outside,outside,outside,living,living,living,bedroom,bedroom,outside,outside,outside
6240,d04 Fri 08:00,outside,kitchen,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,living,outside,outside,outside,living,living,living,bedroom,bedroom,outside,outside,outside
6300,d04 Fri 09:00,outside,kitchen,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,living,outside,outside,outside,living,living,living,bedroom,bedroom,outside,outside,outside
6360,d04 Fri 10:00,outside,kitchen,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,living,outside,outside,outside,living,living,living,bedroom,bedroom,outside,outside,outside
6420,d04 Fri 11:00,outside,kitchen,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,living,outside,outside,outside,living,living,living,bedroom,bedroom,outside,outside,outside
6480,d04 Fri 12:00,outside,kitchen,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,living,outside,outside,outside,living,living,living,bedroom,bedroom,outside,outside,outside
6540,d04 Fri 13:00,outside,kitchen,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,living,outside,outside,outside,living,living,living,bedroom,bedroom,outside,outside,outside
6600,d04 Fri 14:00,outside,kitchen,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,living,outside,outside,outside,living,living,living,bedroom,bedroom,outside,outside,outside
6660,d04 Fri 15:00,outside,kitchen,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,living,outside,outside,outside,living,living,living,bedroom,bedroom,outside,outside,outside
6720,d04 Fri 16:00,outside,kitchen,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,living,outside,outside,outside,living,living,living,bedroom,bedroom,outside,outside,outside
6780,d04 Fri 17:00,outside,kitchen,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,kitchen,kitchen,living,outside,outside,outside,living,living,living,bedroom,bedroom,outside,outside,outside
6840,d04 Fri 18:00,entry,entry,kitchen,kitchen,entry,entry,entry,bedroom,kitchen,entry,bedroom,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,living,bedroom,bedroom,bathroom,bedroom,bedroom
6900,d04 Fri 19:00,entry,entry,kitchen,kitchen,kitchen,entry,entry,bedroom,kitchen,entry,kitchen,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,living,bedroom,bedroom,bathroom,kitchen,bedroom
6960,d04 Fri 20:00,entry,entry,kitchen,kitchen,kitchen,entry,entry,bedroom,kitchen,entry,living,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,living,bedroom,bedroom,bathroom,living,bedroom
7020,d04 Fri 21:00,entry,entry,kitchen,kitchen,kitchen,entry,entry,bedroom,kitchen,entry,living,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,living,bedroom,bedroom,bathroom,living,bedroom
7080,d04 Fri 22:00,entry,entry,kitchen,kitchen,kitchen,entry,entry,bedroom,kitchen,entry,bathroom,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,living,bedroom,bedroom,bathroom,bathroom,bedroom
7140,d04 Fri 23:00,bedroom,entry,kitchen,kitchen,kitchen,entry,entry,bedroom,kitchen,entry,bathroom,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,living,bedroom,bedroom,bathroom,bathroom,bedroom
7200,d05 Sat 00:00,bedroom,entry,kitchen,kitchen,kitchen,entry,entry,bedroom,kitchen,entry,bedroom,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,living,bedroom,bedroom,bathroom,bedroom,bedroom
7260,d05 Sat 01:00,bedroom,entry,kitchen,kitchen,kitchen,entry,entry,bedroom,kitchen,entry,bedroom,kitchen,kitchen,living,kitchen,entry,bedroom,living,living,living,bedroom,bedroom,bathroom,bedroom,bedroom
